Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HELO,AELO
E1,14/12/2019,Barnsley,QPR,5,3,H,2,1,H,13,12,7,6,9,14,3,2,4,3,0,0,2.5,3.6,2.62,1373.800171,1464.052856
E1,13/04/2019,Ipswich,Birmingham,1,1,D,0,1,A,12,17,3,5,18,14,7,5,5,1,0,0,3.75,3.3,2.2,1373.856689,1478.973022
E1,11/01/2020,Luton,Birmingham,1,2,A,0,1,A,9,10,2,7,7,20,5,5,1,3,0,1,2.9,3.5,2.4,1374.114868,1445.713989
E1,22/12/2018,Ipswich,Sheffield United,1,1,D,1,0,H,7,16,3,3,16,11,6,5,2,2,0,0,5.25,3.5,1.83,1374.172485,1494.859985
E1,30/03/2019,Ipswich,Hull,0,2,A,0,1,A,15,7,6,3,13,7,5,3,1,2,0,0,3.1,3.3,2.5,1375.331665,1490.493408
E1,05/05/2019,Rotherham,Middlesbrough,1,2,A,0,1,A,18,12,4,4,12,16,6,5,0,1,0,0,4.75,4.2,1.72,1377.754639,1523.294678
E1,02/03/2019,Wigan,Middlesbrough,0,0,D,0,0,D,6,15,2,1,11,14,5,7,1,2,0,0,3.25,3.2,2.45,1378.900757,1554.911987
E1,02/02/2019,Reading,Aston Villa,0,0,D,0,0,D,7,13,2,3,16,17,5,6,3,4,0,0,3.5,3.6,2.15,1379.552856,1533.012085
E1,01/01/2019,Reading,Swansea,1,4,A,0,3,A,16,8,5,5,13,12,7,1,2,1,0,0,3.25,3.4,2.37,1379.635254,1524.117188
E1,25/02/2020,Luton,Brentford,2,1,H,2,1,H,10,19,3,7,14,9,2,11,2,1,0,0,5.75,4.33,1.55,1380.122681,1589.492432
E1,22/12/2018,Wigan,Birmingham,0,3,A,0,2,A,6,10,1,3,11,15,4,3,1,2,0,0,2.5,3.3,3.1,1380.848633,1453.875122
E1,22/12/2018,Rotherham,West Brom,0,4,A,0,3,A,18,11,4,5,6,13,8,3,1,2,0,0,4.75,3.75,1.83,1381.271973,1591.290771
E1,16/03/2019,Wigan,Bolton,5,2,H,1,0,H,10,13,7,4,13,16,4,9,0,1,0,0,1.75,3.7,5.5,1381.339844,1333.802002
E1,23/02/2019,Wigan,Ipswich,1,1,D,0,1,A,27,12,6,4,3,16,5,4,2,2,0,1,1.72,3.6,6,1381.448364,1348.756592
E1,13/02/2019,Reading,Blackburn,2,1,H,1,0,H,12,15,4,5,13,6,4,5,1,1,0,0,2.8,3.3,2.75,1381.666016,1424.680908
E1,26/12/2019,Luton,Fulham,3,3,D,2,1,H,10,19,3,12,9,11,6,8,0,0,0,0,4,3.9,1.83,1382.553833,1569.697632
E1,15/12/2018,Rotherham,Reading,1,1,D,0,1,A,26,20,10,5,19,12,13,4,1,2,0,0,2.04,3.6,3.8,1382.862793,1385.467773
E1,29/09/2019,Barnsley,Brentford,1,3,A,1,1,D,10,13,3,5,11,8,8,3,0,0,0,0,3.8,3.5,2,1385.845825,1519.383057
E1,22/12/2018,Reading,Middlesbrough,0,1,A,0,0,D,12,16,4,6,12,5,9,8,2,2,0,0,4.75,3.4,1.9,1387.058594,1536.10144
E1,01/11/2019,Barnsley,Bristol City,2,2,D,0,1,A,24,9,6,3,9,11,10,6,2,0,0,0,2.6,3.6,2.6,1387.661743,1545.968018
E1,20/06/2020,Luton,Preston,1,1,D,0,1,D,5,12,1,4,9,7,5,7,1,0,0,0,3.3,3.4,2.2,1387.682739,1494.818481
E1,21/12/2019,Luton,Swansea,0,1,A,0,1,D,14,20,1,4,6,12,4,8,1,2,0,0,3.2,3.5,2.2,1388.352051,1529.19458
E1,23/02/2019,Reading,Rotherham,1,1,D,1,0,H,15,13,5,2,10,14,5,6,1,3,0,0,2.2,3.4,3.6,1388.368774,1359.135986
E1,09/11/2019,Barnsley,Stoke,2,4,A,0,1,A,12,11,4,9,14,7,5,7,3,1,0,0,2.87,3.3,2.5,1389.199951,1455.014038
